glpi_id;glpi_nom;note;code1;nom1;score1;code2;nom2;score2;code3;nom3;score3;code_retenu;valide;protege
1;Groupe BELLEC;CONTENEUR;CBLCEC0;BLCEC;0.73;CBETEC0;BETEC;0.73;CMPELEC;MPELEC;0.67;;0;1
2;Groupe CAP INFO;INTERNE;CCAPINF;CAP INFO;1.00;CCINFRA;CAP INFRA;0.82;CAP02;CAP VIN;0.80;CCAPINF;1;0
3;Siège - Artigues;INTERNE;CSERGEB;SERGE BAROUSSE;0.64;CLAMIGUES;CABINET AMIGUES;0.62;CSTEELA;STEEL ART;0.61;;0;1
5;Datacenter OVH;INTERNE;CCTERAN;CTER&CO;0.57;CMAENTL;MAENTLER;0.55;CATOLEA;ATELIER OLEA;0.54;;0;1
6;Serveurs;INTERNE;VBM01;SASU VB SERVICES;0.63;CFPBSER;FPB SERVICES;0.60;CCBSSE0;CBS SERVICES;0.60;;0;1
14;SAINT-JEAN-DE-LUZ;;CSIMONJ;SIMON JEAN-LUC;0.71;CREY000;GARAGE SAINT-AMAND;0.64;CTISSAG;TISSAGES DE LUZ;0.62;;0;1
15;HENDAYE;;CEAE000;EAE;0.60;CEPONYM;EPONYME;0.57;CHUBERT;HUBERT DELAHAYE;0.55;;0;1
16;AGS NISSAN;CONTENEUR;CGASSUA;GASSUAN;0.59;CPARISD;PARIS DENIS;0.57;CVIEUSS;VIEUSSAN;0.56;CAGSNISS;1;0
17;LA TESTE;;CSTEAT0;ATESN;0.62;CLOSTE0;LOSTE;0.62;CGARTHE;DE LA THESAUQUE;0.61;;0;1
18;ARES;;CFARESI;FARESIN;0.73;CARTHES;ARTHESA;0.73;CSTEAT0;ATESN;0.67;;0;1
19;RENAULT COTE D'ARGENT;;CCOTEAR;RENAULT COTE D ARGENT;1.00;CREBARP;RENAULT LE BARP AUTO;0.63;CRENAUD;RENAULT NORD BASSIN AUTO;0.62;CCOTEAR;1;0
20;LA TESTE;;CSTEAT0;ATESN;0.62;CLOSTE0;LOSTE;0.62;CGARTHE;DE LA THESAUQUE;0.61;;0;1
21;BIGANOS;;CBAHINOS;BAHINOS;0.71;CGGEBID;GARAGE BIDEGAIN;0.67;CPREBIG;PREMIER BIGANOS;0.64;;0;1
22;BISCARROSSE;;CBIGANO;BIGANOS CARROSSERIE;0.73;CUBERTI;UBERTI CARROSSERIE;0.69;CVAZ000;VAZ CARROSSERIE;0.62;;0;1
23;COTE D'ARGENT DEPANNAGE;;CSODEPA;SUD OUEST DEPANNAGE;0.67;CCOTEAR;RENAULT COTE D ARGENT;0.59;CGALERI;GALERIE D'ART PAGE;0.59;;0;1
24;MJ 33;;CMJ3300;MJ 33;1.00;CMCCT33;MCCT 33;0.67;CLMTP33;LMTP 33;0.67;CMJ3300;1;0
